algo,run_idx,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,mean_reward,train_seconds,model_path,reward_path,seed,ent_coef,entropy_path,clip_range,n_steps,n_epochs,vf_coef
A2C,0,0.0007,0.99,,,,60.85604243278503,113.14811825752258,/kaggle/working/outputs/models/a2c_run_00.zip,/kaggle/working/outputs/results/a2c_rewards_run_00.csv,10200,0.0,,,5.0,,0.5
A2C,1,0.0003,0.99,,,,-43.1,112.88029909133911,/kaggle/working/outputs/models/a2c_run_01.zip,/kaggle/working/outputs/results/a2c_rewards_run_01.csv,10201,0.01,,,5.0,,0.5
A2C,2,0.0001,0.99,,,,-43.185711646080016,112.23873376846313,/kaggle/working/outputs/models/a2c_run_02.zip,/kaggle/working/outputs/results/a2c_rewards_run_02.csv,10202,0.01,,,5.0,,0.5
A2C,3,0.0007,0.95,,,,-45.06153583526611,92.82506775856018,/kaggle/working/outputs/models/a2c_run_03.zip,/kaggle/working/outputs/results/a2c_rewards_run_03.csv,10203,0.0,,,10.0,,0.5
A2C,4,0.0003,0.95,,,,-23.692306518554688,94.76060605049133,/kaggle/working/outputs/models/a2c_run_04.zip,/kaggle/working/outputs/results/a2c_rewards_run_04.csv,10204,0.01,,,10.0,,0.4
A2C,5,0.001,0.98,,,,66.57912147045135,81.71348881721497,/kaggle/working/outputs/models/a2c_run_05.zip,/kaggle/working/outputs/results/a2c_rewards_run_05.csv,10205,0.0,,,20.0,,0.5
A2C,6,0.0005,0.98,,,,-38.68571171760559,80.65099763870239,/kaggle/working/outputs/models/a2c_run_06.zip,/kaggle/working/outputs/results/a2c_rewards_run_06.csv,10206,0.01,,,20.0,,0.4
A2C,7,0.0002,0.97,,,,-15.361537754535675,90.71088361740112,/kaggle/working/outputs/models/a2c_run_07.zip,/kaggle/working/outputs/results/a2c_rewards_run_07.csv,10207,0.0,,,10.0,,0.7
A2C,8,0.0001,0.97,,,,68.60329570770264,80.49195432662964,/kaggle/working/outputs/models/a2c_run_08.zip,/kaggle/working/outputs/results/a2c_rewards_run_08.csv,10208,0.01,,,20.0,,0.7
A2C,9,0.0003,0.99,,,,-45.22856874465943,80.64188814163208,/kaggle/working/outputs/models/a2c_run_09.zip,/kaggle/working/outputs/results/a2c_rewards_run_09.csv,10209,0.02,,,20.0,,0.7
