algo,run_idx,learning_rate,gamma,buffer_size,batch_size,exploration_fraction,mean_reward,train_seconds,model_path,reward_path,seed,ent_coef,entropy_path,clip_range,n_steps,n_epochs,vf_coef
DQN,0,0.0001,0.95,50000.0,64.0,0.2,133.85714297294618,58.35696244239807,/kaggle/working/outputs/models/dqn_run_00.zip,/kaggle/working/outputs/results/dqn_rewards_run_00.csv,10000,,,,,,
DQN,1,0.0003,0.95,50000.0,128.0,0.2,165.77802097797394,59.04436492919922,/kaggle/working/outputs/models/dqn_run_01.zip,/kaggle/working/outputs/results/dqn_rewards_run_01.csv,10001,,,,,,
DQN,2,0.001,0.95,100000.0,64.0,0.2,171.8461534500122,58.467880964279175,/kaggle/working/outputs/models/dqn_run_02.zip,/kaggle/working/outputs/results/dqn_rewards_run_02.csv,10002,,,,,,
DQN,3,0.0003,0.99,50000.0,64.0,0.2,170.52087993621825,58.419912815093994,/kaggle/working/outputs/models/dqn_run_03.zip,/kaggle/working/outputs/results/dqn_rewards_run_03.csv,10003,,,,,,
DQN,4,0.0001,0.99,100000.0,128.0,0.1,139.80439586639403,59.9382483959198,/kaggle/working/outputs/models/dqn_run_04.zip,/kaggle/working/outputs/results/dqn_rewards_run_04.csv,10004,,,,,,
DQN,5,0.0005,0.98,100000.0,256.0,0.2,171.88791131973267,59.55474376678467,/kaggle/working/outputs/models/dqn_run_05.zip,/kaggle/working/outputs/results/dqn_rewards_run_05.csv,10005,,,,,,
DQN,6,0.0003,0.97,200000.0,128.0,0.15,171.31648378372194,59.67975926399231,/kaggle/working/outputs/models/dqn_run_06.zip,/kaggle/working/outputs/results/dqn_rewards_run_06.csv,10006,,,,,,
DQN,7,0.001,0.99,200000.0,256.0,0.1,169.2571427822113,60.661481618881226,/kaggle/working/outputs/models/dqn_run_07.zip,/kaggle/working/outputs/results/dqn_rewards_run_07.csv,10007,,,,,,
DQN,8,0.0002,0.96,100000.0,64.0,0.25,171.04395427703858,58.305224657058716,/kaggle/working/outputs/models/dqn_run_08.zip,/kaggle/working/outputs/results/dqn_rewards_run_08.csv,10008,,,,,,
DQN,9,0.0004,0.98,50000.0,128.0,0.3,172.0835174560547,57.63001489639282,/kaggle/working/outputs/models/dqn_run_09.zip,/kaggle/working/outputs/results/dqn_rewards_run_09.csv,10009,,,,,,
REINFORCE,0,0.0003,0.99,,,,-23.692307692307704,47.1484100818634,/kaggle/working/outputs/models/reinforce_run_00.pt,/kaggle/working/outputs/results/reinforce_rewards_run_00.csv,10300,0.0,/kaggle/working/outputs/results/reinforce_entropy_run_00.csv,,,,
REINFORCE,1,0.0001,0.99,,,,-21.846153846153847,47.08341956138611,/kaggle/working/outputs/models/reinforce_run_01.pt,/kaggle/working/outputs/results/reinforce_rewards_run_01.csv,10301,0.0,/kaggle/working/outputs/results/reinforce_entropy_run_01.csv,,,,
REINFORCE,2,0.0007,0.99,,,,-23.346153846153847,47.922213077545166,/kaggle/working/outputs/models/reinforce_run_02.pt,/kaggle/working/outputs/results/reinforce_rewards_run_02.csv,10302,0.0,/kaggle/working/outputs/results/reinforce_entropy_run_02.csv,,,,
REINFORCE,3,0.0003,0.95,,,,-45.9,49.18893647193909,/kaggle/working/outputs/models/reinforce_run_03.pt,/kaggle/working/outputs/results/reinforce_rewards_run_03.csv,10303,0.0,/kaggle/working/outputs/results/reinforce_entropy_run_03.csv,,,,
REINFORCE,4,0.0003,0.98,,,,-34.8,49.6965606212616,/kaggle/working/outputs/models/reinforce_run_04.pt,/kaggle/working/outputs/results/reinforce_rewards_run_04.csv,10304,0.01,/kaggle/working/outputs/results/reinforce_entropy_run_04.csv,,,,
REINFORCE,5,0.0001,0.98,,,,-29.38461538461538,49.44757914543152,/kaggle/working/outputs/models/reinforce_run_05.pt,/kaggle/working/outputs/results/reinforce_rewards_run_05.csv,10305,0.01,/kaggle/working/outputs/results/reinforce_entropy_run_05.csv,,,,
REINFORCE,6,0.0007,0.98,,,,-22.384615384615394,49.001362800598145,/kaggle/working/outputs/models/reinforce_run_06.pt,/kaggle/working/outputs/results/reinforce_rewards_run_06.csv,10306,0.01,/kaggle/working/outputs/results/reinforce_entropy_run_06.csv,,,,
REINFORCE,7,0.0003,0.97,,,,-24.846153846153847,48.81406831741333,/kaggle/working/outputs/models/reinforce_run_07.pt,/kaggle/working/outputs/results/reinforce_rewards_run_07.csv,10307,0.02,/kaggle/working/outputs/results/reinforce_entropy_run_07.csv,,,,
REINFORCE,8,0.0001,0.97,,,,-46.8,48.18478488922119,/kaggle/working/outputs/models/reinforce_run_08.pt,/kaggle/working/outputs/results/reinforce_rewards_run_08.csv,10308,0.02,/kaggle/working/outputs/results/reinforce_entropy_run_08.csv,,,,
REINFORCE,9,0.0005,0.99,,,,-17.846153846153843,47.94947338104248,/kaggle/working/outputs/models/reinforce_run_09.pt,/kaggle/working/outputs/results/reinforce_rewards_run_09.csv,10309,0.02,/kaggle/working/outputs/results/reinforce_entropy_run_09.csv,,,,
PPO,0,0.0003,,,,,63.62857146263123,104.66179418563843,/kaggle/working/outputs/models/ppo_run_00.zip,/kaggle/working/outputs/results/ppo_rewards_run_00.csv,10100,0.0,,0.2,256.0,10.0,
PPO,1,0.0001,,,,,-35.8,104.7353675365448,/kaggle/working/outputs/models/ppo_run_01.zip,/kaggle/working/outputs/results/ppo_rewards_run_01.csv,10101,0.01,,0.2,256.0,10.0,
PPO,2,0.0003,,,,,62.84395608901978,104.24613881111145,/kaggle/working/outputs/models/ppo_run_02.zip,/kaggle/working/outputs/results/ppo_rewards_run_02.csv,10102,0.0,,0.1,512.0,10.0,
PPO,3,0.0005,,,,,-41.414283108711246,103.4606363773346,/kaggle/working/outputs/models/ppo_run_03.zip,/kaggle/working/outputs/results/ppo_rewards_run_03.csv,10103,0.01,,0.2,512.0,10.0,
PPO,4,0.0003,,,,,-29.65384786128998,88.1514139175415,/kaggle/working/outputs/models/ppo_run_04.zip,/kaggle/working/outputs/results/ppo_rewards_run_04.csv,10104,0.0,,0.3,256.0,5.0,
PPO,5,0.0002,,,,,58.9000006198883,103.05405187606812,/kaggle/working/outputs/models/ppo_run_05.zip,/kaggle/working/outputs/results/ppo_rewards_run_05.csv,10105,0.0,,0.2,1024.0,10.0,
PPO,6,0.0001,,,,,71.89999955892563,103.56600737571716,/kaggle/working/outputs/models/ppo_run_06.zip,/kaggle/working/outputs/results/ppo_rewards_run_06.csv,10106,0.01,,0.1,1024.0,10.0,
PPO,7,0.0007,,,,,124.98901073932647,103.00590133666992,/kaggle/working/outputs/models/ppo_run_07.zip,/kaggle/working/outputs/results/ppo_rewards_run_07.csv,10107,0.02,,0.2,256.0,10.0,
PPO,8,0.0003,,,,,164.7120864391327,119.60467433929443,/kaggle/working/outputs/models/ppo_run_08.zip,/kaggle/working/outputs/results/ppo_rewards_run_08.csv,10108,0.02,,0.2,512.0,15.0,
PPO,9,0.0002,,,,,120.75824046134949,119.86300563812256,/kaggle/working/outputs/models/ppo_run_09.zip,/kaggle/working/outputs/results/ppo_rewards_run_09.csv,10109,0.0,,0.3,512.0,15.0,
A2C,0,0.0007,0.99,,,,60.85604243278503,113.14811825752258,/kaggle/working/outputs/models/a2c_run_00.zip,/kaggle/working/outputs/results/a2c_rewards_run_00.csv,10200,0.0,,,5.0,,0.5
A2C,1,0.0003,0.99,,,,-43.1,112.88029909133911,/kaggle/working/outputs/models/a2c_run_01.zip,/kaggle/working/outputs/results/a2c_rewards_run_01.csv,10201,0.01,,,5.0,,0.5
A2C,2,0.0001,0.99,,,,-43.185711646080016,112.23873376846313,/kaggle/working/outputs/models/a2c_run_02.zip,/kaggle/working/outputs/results/a2c_rewards_run_02.csv,10202,0.01,,,5.0,,0.5
A2C,3,0.0007,0.95,,,,-45.06153583526611,92.82506775856018,/kaggle/working/outputs/models/a2c_run_03.zip,/kaggle/working/outputs/results/a2c_rewards_run_03.csv,10203,0.0,,,10.0,,0.5
A2C,4,0.0003,0.95,,,,-23.692306518554688,94.76060605049133,/kaggle/working/outputs/models/a2c_run_04.zip,/kaggle/working/outputs/results/a2c_rewards_run_04.csv,10204,0.01,,,10.0,,0.4
A2C,5,0.001,0.98,,,,66.57912147045135,81.71348881721497,/kaggle/working/outputs/models/a2c_run_05.zip,/kaggle/working/outputs/results/a2c_rewards_run_05.csv,10205,0.0,,,20.0,,0.5
A2C,6,0.0005,0.98,,,,-38.68571171760559,80.65099763870239,/kaggle/working/outputs/models/a2c_run_06.zip,/kaggle/working/outputs/results/a2c_rewards_run_06.csv,10206,0.01,,,20.0,,0.4
A2C,7,0.0002,0.97,,,,-15.361537754535675,90.71088361740112,/kaggle/working/outputs/models/a2c_run_07.zip,/kaggle/working/outputs/results/a2c_rewards_run_07.csv,10207,0.0,,,10.0,,0.7
A2C,8,0.0001,0.97,,,,68.60329570770264,80.49195432662964,/kaggle/working/outputs/models/a2c_run_08.zip,/kaggle/working/outputs/results/a2c_rewards_run_08.csv,10208,0.01,,,20.0,,0.7
A2C,9,0.0003,0.99,,,,-45.22856874465943,80.64188814163208,/kaggle/working/outputs/models/a2c_run_09.zip,/kaggle/working/outputs/results/a2c_rewards_run_09.csv,10209,0.02,,,20.0,,0.7
