algo,seed,mean_reward
DQN,2021,172.19560556411744
DQN,2022,171.1472537279129
DQN,2023,172.11868228912354
DQN,2024,171.07472631931304
DQN,2025,171.12307798862457
PPO,2021,157.8109879016876
PPO,2022,156.71208653450012
PPO,2023,155.75164704322816
PPO,2024,174.76703062057496
PPO,2025,158.7956025123596
A2C,2021,70.2483507156372
A2C,2022,67.7483507156372
A2C,2023,65.89340572357177
A2C,2024,70.39340572357177
A2C,2025,68.17582321166992
REINFORCE,2021,-19.346153846153847
REINFORCE,2022,-22.846153846153847
REINFORCE,2023,-18.346153846153843
REINFORCE,2024,-18.846153846153847
REINFORCE,2025,-18.846153846153843
